Bank,ATM_Name,Address,State,City,CashAvailability,LastChecked
UBA,UBA ATM,"279 Plot No. 357, Kakawa Street, Tinubu, Lagos Island, Lagos 100272, Nigeria",Lagos,Lagos Island,Available,05/29/2026 15:03:10
UBA,UBA ATM,"279 Plot No. 357, Kakawa Street, Tinubu, Lagos Island, Lagos 100272, Nigeria",Lagos,Lagos Island,Available,05/28/2026 15:03:10
UBA,UBA ATM,"279 Plot No. 357, Kakawa Street, Tinubu, Lagos Island, Lagos 100272, Nigeria",Lagos,Lagos Island,Out of Cash,05/27/2026 15:03:10
UBA,UBA ATM,"279 Plot No. 357, Kakawa Street, Tinubu, Lagos Island, Lagos 100272, Nigeria",Lagos,Lagos Island,Available,05/26/2026 15:03:10
UBA,UBA ATM,"279 Plot No. 357, Kakawa Street, Tinubu, Lagos Island, Lagos 100272, Nigeria",Lagos,Lagos Island,Out of Cash,05/25/2026 15:03:10
UBA,UBA ATM,"279 Plot No. 357, Kakawa Street, Tinubu, Lagos Island, Lagos 100272, Nigeria",Lagos,Lagos Island,Available,05/24/2026 15:03:10
UBA,UBA ATM,"279 Plot No. 357, Kakawa Street, Tinubu, Lagos Island, Lagos 100272, Nigeria",Lagos,Lagos Island,Out of Cash,05/23/2026 15:03:10
UBA,UBA ATM,"279 Plot No. 357, Kakawa Street, Tinubu, Lagos Island, Lagos 100272, Nigeria",Lagos,Lagos Island,Available,05/22/2026 15:03:10
UBA,UBA ATM,"279 Plot No. 357, Kakawa Street, Tinubu, Lagos Island, Lagos 100272, Nigeria",Lagos,Lagos Island,Available,05/21/2026 15:03:10
UBA,UBA ATM,"279 Plot No. 357, Kakawa Street, Tinubu, Lagos Island, Lagos 100272, Nigeria",Lagos,Lagos Island,Available,05/20/2026 15:03:10
UBA,UBA ATM,"279 Plot No. 357, Kakawa Street, Tinubu, Lagos Island, Lagos 100272, Nigeria",Lagos,Lagos Island,Available,05/19/2026 15:03:10
UBA,UBA ATM,"299 53 Idumagbo Ave, Lagos Island, Lagos 100272, Lagos, Nigeria",Lagos,Lagos Island,Available,05/29/2026 08:03:10
UBA,UBA ATM,"299 53 Idumagbo Ave, Lagos Island, Lagos 100272, Lagos, Nigeria",Lagos,Lagos Island,Available,05/28/2026 08:03:10
UBA,UBA ATM,"299 53 Idumagbo Ave, Lagos Island, Lagos 100272, Lagos, Nigeria",Lagos,Lagos Island,Out of Cash,05/27/2026 08:03:10
UBA,UBA ATM,"299 53 Idumagbo Ave, Lagos Island, Lagos 100272, Lagos, Nigeria",Lagos,Lagos Island,Available,05/26/2026 08:03:10
UBA,UBA ATM,"299 53 Idumagbo Ave, Lagos Island, Lagos 100272, Lagos, Nigeria",Lagos,Lagos Island,Out of Cash,05/25/2026 08:03:10
UBA,UBA ATM,"299 53 Idumagbo Ave, Lagos Island, Lagos 100272, Lagos, Nigeria",Lagos,Lagos Island,Available,05/24/2026 08:03:10
UBA,UBA ATM,"299 53 Idumagbo Ave, Lagos Island, Lagos 100272, Lagos, Nigeria",Lagos,Lagos Island,Out of Cash,05/23/2026 08:03:10
UBA,UBA ATM,"299 53 Idumagbo Ave, Lagos Island, Lagos 100272, Lagos, Nigeria",Lagos,Lagos Island,Available,05/22/2026 08:03:10
UBA,UBA ATM,"299 53 Idumagbo Ave, Lagos Island, Lagos 100272, Lagos, Nigeria",Lagos,Lagos Island,Available,05/21/2026 08:03:10
UBA,UBA ATM,"299 53 Idumagbo Ave, Lagos Island, Lagos 100272, Lagos, Nigeria",Lagos,Lagos Island,Available,05/20/2026 08:03:10
UBA,UBA ATM,"299 53 Idumagbo Ave, Lagos Island, Lagos 100272, Lagos, Nigeria",Lagos,Lagos Island,Available,05/19/2026 08:03:10
UBA,UBA ATM,"266 55 Marina Rd, Lagos Island, Lagos 100272, Lagos, Nigeria",Lagos,Lagos Island,Available,05/28/2026 16:03:10
UBA,UBA ATM,"266 55 Marina Rd, Lagos Island, Lagos 100272, Lagos, Nigeria",Lagos,Lagos Island,Available,05/27/2026 16:03:10
UBA,UBA ATM,"266 55 Marina Rd, Lagos Island, Lagos 100272, Lagos, Nigeria",Lagos,Lagos Island,Out of Cash,05/26/2026 16:03:10
UBA,UBA ATM,"266 55 Marina Rd, Lagos Island, Lagos 100272, Lagos, Nigeria",Lagos,Lagos Island,Available,05/25/2026 16:03:10
UBA,UBA ATM,"266 55 Marina Rd, Lagos Island, Lagos 100272, Lagos, Nigeria",Lagos,Lagos Island,Out of Cash,05/24/2026 16:03:10
UBA,UBA ATM,"266 55 Marina Rd, Lagos Island, Lagos 100272, Lagos, Nigeria",Lagos,Lagos Island,Available,05/23/2026 16:03:10
UBA,UBA ATM,"266 55 Marina Rd, Lagos Island, Lagos 100272, Lagos, Nigeria",Lagos,Lagos Island,Out of Cash,05/22/2026 16:03:10
UBA,UBA ATM,"266 55 Marina Rd, Lagos Island, Lagos 100272, Lagos, Nigeria",Lagos,Lagos Island,Available,05/21/2026 16:03:10
UBA,UBA ATM,"266 55 Marina Rd, Lagos Island, Lagos 100272, Lagos, Nigeria",Lagos,Lagos Island,Available,05/20/2026 16:03:10
UBA,UBA ATM,"266 55 Marina Rd, Lagos Island, Lagos 100272, Lagos, Nigeria",Lagos,Lagos Island,Available,05/19/2026 16:03:10
UBA,UBA ATM,"266 55 Marina Rd, Lagos Island, Lagos 100272, Lagos, Nigeria",Lagos,Lagos Island,Available,05/18/2026 16:03:10
UBA,UBA ATM,"1126 Apapa Rd, Lagos Island, Lagos 102273, Lagos, Nigeria",Lagos,Lagos Island,Available,05/28/2026 16:03:10
UBA,UBA ATM,"1126 Apapa Rd, Lagos Island, Lagos 102273, Lagos, Nigeria",Lagos,Lagos Island,Out of Cash,05/27/2026 16:03:10
UBA,UBA ATM,"1126 Apapa Rd, Lagos Island, Lagos 102273, Lagos, Nigeria",Lagos,Lagos Island,Out of Cash,05/26/2026 16:03:10
UBA,UBA ATM,"1126 Apapa Rd, Lagos Island, Lagos 102273, Lagos, Nigeria",Lagos,Lagos Island,Out of Cash,05/25/2026 16:03:10
UBA,UBA ATM,"1126 Apapa Rd, Lagos Island, Lagos 102273, Lagos, Nigeria",Lagos,Lagos Island,Out of Cash,05/24/2026 16:03:10
UBA,UBA ATM,"1126 Apapa Rd, Lagos Island, Lagos 102273, Lagos, Nigeria",Lagos,Lagos Island,Available,05/23/2026 16:03:10
UBA,UBA ATM,"1126 Apapa Rd, Lagos Island, Lagos 102273, Lagos, Nigeria",Lagos,Lagos Island,Available,05/22/2026 16:03:10
UBA,UBA ATM,"1126 Apapa Rd, Lagos Island, Lagos 102273, Lagos, Nigeria",Lagos,Lagos Island,Available,05/21/2026 16:03:10
UBA,UBA ATM,"1126 Apapa Rd, Lagos Island, Lagos 102273, Lagos, Nigeria",Lagos,Lagos Island,Available,05/20/2026 16:03:10
UBA,UBA ATM,"1126 Apapa Rd, Lagos Island, Lagos 102273, Lagos, Nigeria",Lagos,Lagos Island,Available,05/19/2026 16:03:10
